SCHOOL_YEAR	DATA_LEVEL	PUBLIC_OR_INDEPENDENT	DISTRICT_NUMBER	DISTRICT_NAME	SCHOOL_NUMBER	SCHOOL_NAME	EXAM_SUBJECT	GRADE	NUMBER_OF_EXAM_WRITERS	NUMBER_OF_C_MINUS_OR_BETTER	PERCENT_OF_C_MINUS_OR_BETTER
2006/2007	SCHOOL LEVEL	BC Public School	008	Kootenay Lake	00807025	Mount Sentinel Secondary	Chemistry 12	12	23	21	91
2006/2007	SCHOOL LEVEL	BC Public School	008	Kootenay Lake	00886007	Prince Charles Secondary	Chemistry 12	12	17	14	82
2006/2007	SCHOOL LEVEL	BC Public School	008	Kootenay Lake	00886018	J V Humphries Elem-Secondary	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	008	Kootenay Lake	00898001	Distance Ed School of the Kootenays	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	019	Revelstoke	01919003	Revelstoke Secondary	Chemistry 12	12	25	18	72
2006/2007	SCHOOL LEVEL	BC Public School	020	Kootenay-Columbia	02009010	Stanley Humphries Secondary	Chemistry 12	12	12	12	100
2006/2007	SCHOOL LEVEL	BC Public School	020	Kootenay-Columbia	02011012	J Lloyd Crowe Secondary	Chemistry 12	12	47	39	83
2006/2007	SCHOOL LEVEL	BC Public School	020	Kootenay-Columbia	02011014	Rossland Secondary	Chemistry 12	12	26	26	100
2006/2007	SCHOOL LEVEL	BC Public School	022	Vernon	02222007	W L Seaton Secondary	Chemistry 12	12	42	37	88
2006/2007	SCHOOL LEVEL	BC Public School	022	Vernon	02222017	Vernon Secondary	Chemistry 12	12	48	43	90
2006/2007	SCHOOL LEVEL	BC Public School	022	Vernon	02222022	Kalamalka Secondary	Chemistry 12	12	39	36	92
2006/2007	SCHOOL LEVEL	BC Public School	022	Vernon	02222025	Clarence Fulton Secondary	Chemistry 12	12	33	30	91
2006/2007	SCHOOL LEVEL	BC Public School	022	Vernon	02222027	Charles Bloom Elementary Secondary	Chemistry 12	12	11	10	91
2006/2007	SCHOOL LEVEL	BC Public School	023	Central Okanagan	02323028	George Elliot Secondary	Chemistry 12	12	22	22	100
2006/2007	SCHOOL LEVEL	BC Public School	023	Central Okanagan	02323044	Rutland Senior Secondary	Chemistry 12	12	63	56	89
2006/2007	SCHOOL LEVEL	BC Public School	023	Central Okanagan	02323051	Mount Boucherie Senior Secondary	Chemistry 12	12	97	93	96
2006/2007	SCHOOL LEVEL	BC Public School	023	Central Okanagan	02323059	Okanagan Mission Secondary	Chemistry 12	12	39	39	100
2006/2007	SCHOOL LEVEL	BC Public School	023	Central Okanagan	02323076	Kelowna Secondary	Chemistry 12	12	131	129	98
2006/2007	SCHOOL LEVEL	BC Public School	027	Cariboo-Chilcotin	02727047	Columneetza Secondary	Chemistry 12	12	41	29	71
2006/2007	SCHOOL LEVEL	BC Public School	027	Cariboo-Chilcotin	02727056	Peter Skene Ogden Secondary	Chemistry 12	12	17	17	100
2006/2007	SCHOOL LEVEL	BC Public School	027	Cariboo-Chilcotin	02727069	Williams Lake Secondary School	Chemistry 12	12	19	15	79
2006/2007	SCHOOL LEVEL	BC Public School	028	Quesnel	02828004	Quesnel Junior School	Chemistry 12	12	34	29	85
2006/2007	SCHOOL LEVEL	BC Public School	028	Quesnel	02828034	Correlieu Secondary School	Chemistry 12	12	28	26	93
2006/2007	SCHOOL LEVEL	BC Public School	033	Chilliwack	03333012	Chilliwack Secondary	Chemistry 12	12	35	35	100
2006/2007	SCHOOL LEVEL	BC Public School	033	Chilliwack	03333018	Sardis Secondary	Chemistry 12	12	64	64	100
2006/2007	SCHOOL LEVEL	BC Public School	033	Chilliwack	03398003	Fraser Valley Distance Education School	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	034	Abbotsford	03434000	Bakerview Ctr for Learning - CE	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	034	Abbotsford	03434022	Abbotsford Collegiate	Chemistry 12	12	36	31	86
2006/2007	SCHOOL LEVEL	BC Public School	034	Abbotsford	03434038	Yale Secondary	Chemistry 12	12	65	65	100
2006/2007	SCHOOL LEVEL	BC Public School	034	Abbotsford	03434041	W J Mouat Secondary	Chemistry 12	12	77	70	91
2006/2007	SCHOOL LEVEL	BC Public School	034	Abbotsford	03434052	Rick Hansen Secondary	Chemistry 12	12	34	32	94
2006/2007	SCHOOL LEVEL	BC Public School	034	Abbotsford	03434054	Robert Bateman Secondary	Chemistry 12	12	28	28	100
2006/2007	SCHOOL LEVEL	BC Public School	034	Abbotsford	03434061	Abbotsford Traditional Senior Secondary	Chemistry 12	12	11	10	91
2006/2007	SCHOOL LEVEL	BC Public School	035	Langley	03535019	Langley Secondary	Chemistry 12	12	23	19	83
2006/2007	SCHOOL LEVEL	BC Public School	035	Langley	03535020	Aldergrove Community Secondary School	Chemistry 12	12	21	21	100
2006/2007	SCHOOL LEVEL	BC Public School	035	Langley	03535029	Langley Fine Arts School	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	035	Langley	03535031	H D Stafford Secondary School	Chemistry 12	12	17	17	100
2006/2007	SCHOOL LEVEL	BC Public School	035	Langley	03535034	D W Poppy Secondary	Chemistry 12	12	64	63	98
2006/2007	SCHOOL LEVEL	BC Public School	035	Langley	03535036	Brookswood Secondary	Chemistry 12	12	36	36	100
2006/2007	SCHOOL LEVEL	BC Public School	035	Langley	03535041	R E Mountain Secondary	Chemistry 12	12	27	26	96
2006/2007	SCHOOL LEVEL	BC Public School	035	Langley	03535050	Walnut Grove Secondary	Chemistry 12	12	66	49	74
2006/2007	SCHOOL LEVEL	BC Public School	035	Langley	03599050	Langley Education Centre	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636000	Continuing Ed SD 36	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636022	Queen Elizabeth Secondary	Chemistry 12	12	42	38	90
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636028	North Surrey Secondary	Chemistry 12	12	68	66	97
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636041	Lord Tweedsmuir Secondary	Chemistry 12	12	33	27	82
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636045	Johnston Heights Secondary	Chemistry 12	12	70	63	90
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636047	Guildford Park Secondary	Chemistry 12	12	33	29	88
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636049	Semiahmoo Secondary	Chemistry 12	12	104	93	89
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636079	L A Matheson Secondary	Chemistry 12	12	41	37	90
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636080	Surrey Traditional	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636105	Earl Marriott Secondary	Chemistry 12	12	64	64	100
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636106	Frank Hurt Secondary	Chemistry 12	12	40	35	88
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636114	Enver Creek Secondary	Chemistry 12	12	74	72	97
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636141	Fraser Heights Secondary	Chemistry 12	12	117	114	97
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636150	Tamanawis Secondary	Chemistry 12	12	62	60	97
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636156	Elgin Park Secondary	Chemistry 12	12	76	70	92
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636164	Sullivan Heights Secondary	Chemistry 12	12	32	32	100
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636167	Fleetwood Park Secondary	Chemistry 12	12	81	79	98
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636175	Clayton Heights Secondary	Chemistry 12	12	35	34	97
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636246	Princess Margaret Secondary	Chemistry 12	12	125	125	100
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03636248	Kwantlen Park Secondary	Chemistry 12	12	40	36	90
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03699062	North Surrey Learning Centre	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	036	Surrey	03699142	Surrey Connect: A Distributed Learning	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	037	Delta	03737003	Delta Secondary	Chemistry 12	12	45	39	87
2006/2007	SCHOOL LEVEL	BC Public School	037	Delta	03737012	North Delta Secondary	Chemistry 12	12	21	18	86
2006/2007	SCHOOL LEVEL	BC Public School	037	Delta	03737021	Delview Secondary	Chemistry 12	12	23	20	87
2006/2007	SCHOOL LEVEL	BC Public School	037	Delta	03737034	Burnsview Secondary	Chemistry 12	12	31	28	90
2006/2007	SCHOOL LEVEL	BC Public School	037	Delta	03737037	South Delta Secondary	Chemistry 12	12	35	33	94
2006/2007	SCHOOL LEVEL	BC Public School	037	Delta	03737038	Sands Secondary	Chemistry 12	12	10	10	100
2006/2007	SCHOOL LEVEL	BC Public School	037	Delta	03737040	Seaquam Secondary	Chemistry 12	12	97	89	92
2006/2007	SCHOOL LEVEL	BC Public School	038	Richmond	03838000	Continuing Ed SD 38	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	038	Richmond	03838024	R C Palmer Secondary	Chemistry 12	12	63	62	98
2006/2007	SCHOOL LEVEL	BC Public School	038	Richmond	03838031	Hugh Boyd Secondary	Chemistry 12	12	43	40	93
2006/2007	SCHOOL LEVEL	BC Public School	038	Richmond	03838033	Hugh McRoberts Secondary	Chemistry 12	12	61	57	93
2006/2007	SCHOOL LEVEL	BC Public School	038	Richmond	03838042	J N Burnett Secondary	Chemistry 12	12	107	105	98
2006/2007	SCHOOL LEVEL	BC Public School	038	Richmond	03838044	Matthew McNair Secondary	Chemistry 12	12	37	35	95
2006/2007	SCHOOL LEVEL	BC Public School	038	Richmond	03838045	Steveston-London Secondary	Chemistry 12	12	170	159	94
2006/2007	SCHOOL LEVEL	BC Public School	038	Richmond	03838058	Cambie Secondary	Chemistry 12	12	29	27	93
2006/2007	SCHOOL LEVEL	BC Public School	038	Richmond	03838062	Robert Alexander McMath Secondary	Chemistry 12	12	33	32	97
2006/2007	SCHOOL LEVEL	BC Public School	038	Richmond	03838065	Richmond Secondary	Chemistry 12	12	93	75	81
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939000	Continuing Ed SD 39	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939001	King George Secondary	Chemistry 12	12	14	13	93
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939003	Magee Secondary	Chemistry 12	12	109	103	94
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939004	Britannia Community Secondary	Chemistry 12	12	24	15	63
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939006	Kitsilano Secondary	Chemistry 12	12	112	102	91
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939007	John Oliver Secondary	Chemistry 12	12	49	45	92
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939008	Lord Byng Secondary	Chemistry 12	12	71	71	100
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939010	Templeton Secondary	Chemistry 12	12	68	65	96
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939011	Vancouver Technical Secondary	Chemistry 12	12	107	104	97
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939012	Point Grey Secondary	Chemistry 12	12	120	113	94
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939014	Gladstone Secondary	Chemistry 12	12	79	71	90
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939015	Sir Winston Churchill Secondary	Chemistry 12	12	115	96	83
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939016	Killarney Secondary	Chemistry 12	12	131	121	92
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939017	Sir Charles Tupper Secondary	Chemistry 12	12	53	46	87
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939018	David Thompson Secondary	Chemistry 12	12	105	100	95
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939019	Prince of Wales Secondary	Chemistry 12	12	117	113	97
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939020	Windermere Community Secondary	Chemistry 12	12	57	44	77
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939022	Eric Hamber Secondary	Chemistry 12	12	129	118	91
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03939024	University Hill Secondary	Chemistry 12	12	77	70	91
2006/2007	SCHOOL LEVEL	BC Public School	039	Vancouver	03998004	Vancouver Learning Network	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	040	New Westminster	04040000	Continuing Ed SD 40	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	040	New Westminster	04040008	New Westminster Secondary	Chemistry 12	12	173	159	92
2006/2007	SCHOOL LEVEL	BC Public School	041	Burnaby	04141000	Burnaby Continuing Education	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	041	Burnaby	04141001	Burnaby Central Secondary	Chemistry 12	12	95	83	87
2006/2007	SCHOOL LEVEL	BC Public School	041	Burnaby	04141002	Burnaby North Secondary	Chemistry 12	12	213	193	91
2006/2007	SCHOOL LEVEL	BC Public School	041	Burnaby	04141005	Alpha Secondary	Chemistry 12	12	51	40	78
2006/2007	SCHOOL LEVEL	BC Public School	041	Burnaby	04141007	Cariboo Hill Secondary	Chemistry 12	12	28	21	75
2006/2007	SCHOOL LEVEL	BC Public School	041	Burnaby	04141011	Moscrop Secondary	Chemistry 12	12	113	101	89
2006/2007	SCHOOL LEVEL	BC Public School	041	Burnaby	04141062	Burnaby South Secondary	Chemistry 12	12	162	153	94
2006/2007	SCHOOL LEVEL	BC Public School	041	Burnaby	04141063	Burnaby Mountain Secondary	Chemistry 12	12	87	84	97
2006/2007	SCHOOL LEVEL	BC Public School	041	Burnaby	04141068	Byrne Creek Secondary	Chemistry 12	12	31	25	81
2006/2007	SCHOOL LEVEL	BC Public School	041	Burnaby	04199145	Burnaby Online Program	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	042	Maple Ridge-Pitt Meadows	04242000	Continuing Ed SD 42	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	042	Maple Ridge-Pitt Meadows	04242001	Maple Ridge Secondary	Chemistry 12	12	28	26	93
2006/2007	SCHOOL LEVEL	BC Public School	042	Maple Ridge-Pitt Meadows	04242002	Garibaldi Secondary	Chemistry 12	12	20	18	90
2006/2007	SCHOOL LEVEL	BC Public School	042	Maple Ridge-Pitt Meadows	04242003	Pitt Meadows Secondary	Chemistry 12	12	23	22	96
2006/2007	SCHOOL LEVEL	BC Public School	042	Maple Ridge-Pitt Meadows	04242004	Westview Secondary	Chemistry 12	12	28	28	100
2006/2007	SCHOOL LEVEL	BC Public School	042	Maple Ridge-Pitt Meadows	04242028	Arthur Peake Centre	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	042	Maple Ridge-Pitt Meadows	04242038	Thomas Haney Centre	Chemistry 12	12	17	16	94
2006/2007	SCHOOL LEVEL	BC Public School	042	Maple Ridge-Pitt Meadows	04242045	Samuel Robertson Technical Secondary	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	043	Coquitlam	04343000	Continuing Ed SD 43	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	043	Coquitlam	04343076	Centennial School	Chemistry 12	12	148	139	94
2006/2007	SCHOOL LEVEL	BC Public School	043	Coquitlam	04343080	Dr. Charles Best Secondary School	Chemistry 12	12	58	55	95
2006/2007	SCHOOL LEVEL	BC Public School	043	Coquitlam	04343088	Port Moody Secondary	Chemistry 12	12	80	71	89
2006/2007	SCHOOL LEVEL	BC Public School	043	Coquitlam	04343125	Gleneagle Secondary School	Chemistry 12	12	93	88	95
2006/2007	SCHOOL LEVEL	BC Public School	043	Coquitlam	04343127	Heritage Woods Secondary	Chemistry 12	12	92	89	97
2006/2007	SCHOOL LEVEL	BC Public School	043	Coquitlam	04343130	Pinetree Secondary School	Chemistry 12	12	119	116	97
2006/2007	SCHOOL LEVEL	BC Public School	043	Coquitlam	04343132	Riverside Secondary	Chemistry 12	12	70	62	89
2006/2007	SCHOOL LEVEL	BC Public School	043	Coquitlam	04343136	Terry Fox Secondary	Chemistry 12	12	79	74	94
2006/2007	SCHOOL LEVEL	BC Public School	044	North Vancouver	04444000	Continuing Ed SD 44	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	044	North Vancouver	04444012	Sutherland Secondary	Chemistry 12	12	47	45	96
2006/2007	SCHOOL LEVEL	BC Public School	044	North Vancouver	04444022	Argyle Secondary	Chemistry 12	12	117	100	85
2006/2007	SCHOOL LEVEL	BC Public School	044	North Vancouver	04444025	Handsworth Secondary School	Chemistry 12	12	88	81	92
2006/2007	SCHOOL LEVEL	BC Public School	044	North Vancouver	04444026	Windsor Secondary	Chemistry 12	12	34	29	85
2006/2007	SCHOOL LEVEL	BC Public School	044	North Vancouver	04444036	Carson Graham Secondary	Chemistry 12	12	70	67	96
2006/2007	SCHOOL LEVEL	BC Public School	044	North Vancouver	04444047	Seycove Secondary Community	Chemistry 12	12	35	35	100
2006/2007	SCHOOL LEVEL	BC Public School	045	West Vancouver	04545010	Sentinel Secondary	Chemistry 12	12	93	87	94
2006/2007	SCHOOL LEVEL	BC Public School	045	West Vancouver	04545015	West Vancouver Secondary	Chemistry 12	12	65	63	97
2006/2007	SCHOOL LEVEL	BC Public School	045	West Vancouver	04545081	Rockridge Secondary	Chemistry 12	12	43	42	98
2006/2007	SCHOOL LEVEL	BC Public School	046	Sunshine Coast	04646008	Elphinstone Secondary	Chemistry 12	12	24	21	88
2006/2007	SCHOOL LEVEL	BC Public School	046	Sunshine Coast	04646012	Pender Harbour Elem-Secondary	Chemistry 12	12	19	18	95
2006/2007	SCHOOL LEVEL	BC Public School	046	Sunshine Coast	04646017	Chatelech Secondary	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	047	Powell River	04747021	Brooks Secondary	Chemistry 12	12	19	19	100
2006/2007	SCHOOL LEVEL	BC Public School	048	Sea to Sky	04848004	Howe Sound Secondary	Chemistry 12	12	32	28	88
2006/2007	SCHOOL LEVEL	BC Public School	048	Sea to Sky	04848022	Whistler Secondary	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	049	Central Coast	04949002	Sir Alexander Mackenzie Secondary	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	050	Haida Gwaii	05050012	Queen Charlotte Secondary	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	051	Boundary	05112002	Grand Forks Secondary School	Chemistry 12	12	17	16	94
2006/2007	SCHOOL LEVEL	BC Public School	051	Boundary	05113010	Boundary Central Secondary	Chemistry 12	12	Msk	Msk	Msk
2006/2007	SCHOOL LEVEL	BC Public School	052	Prince Rupert	05252009	Prince Rupert Secondary	Chemistry 12	12	19	13	68
2006/2007	SCHOOL LEVEL	BC Public School	052	Prince Rupert	05252018	Charles Hays Secondary	Chemistry 12	12	22	13	59
2006/2007	SCHOOL LEVEL	BC Public School	053	Okanagan Similkameen	05314001	Southern Okanagan Secondary	Chemistry 12	12	11	8	73
2006/2007	SCHOOL LEVEL	BC Public School	053	Okanagan Similkameen	05314008	Osoyoos Secondary	Chemistry 12	12	16	13	81
